iter	Passed	Remaining
712	13338	5369
713	13355	5349
714	13372	5330
715	13389	5311
716	13407	5291
717	13428	5273
718	13447	5255
719	13465	5236
720	13485	5218
721	13503	5199
722	13524	5181
723	13545	5163
724	13565	5145
725	13587	5127
726	13607	5110
727	13629	5092
728	13652	5075
729	13674	5057
730	13695	5039
731	13717	5022
732	13737	5004
733	13764	4988
734	13792	4972
735	13818	4956
736	13836	4937
737	13854	4918
738	13871	4899
739	13888	4879
740	13908	4861
741	13925	4842
742	13944	4823
743	13961	4803
744	13979	4784
745	13996	4765
746	14014	4746
747	14032	4727
748	14049	4708
749	14067	4689
750	14099	4674
751	14127	4659
752	14149	4641
753	14167	4622
754	14184	4602
755	14201	4583
756	14218	4564
757	14236	4545
758	14254	4526
759	14272	4506
760	14290	4488
761	14316	4471
762	14338	4453
763	14360	4435
764	14381	4417
765	14402	4399
766	14420	4380
767	14439	4361
768	14457	4342
769	14474	4323
770	14491	4304
771	14510	4285
772	14528	4266
773	14548	4248
774	14566	4228
775	14584	4209
776	14601	4190
777	14618	4171
778	14638	4152
779	14657	4134
780	14673	4114
781	14691	4095
782	14709	4076
783	14728	4057
784	14747	4039
785	14765	4020
786	14784	4001
787	14802	3982
788	14821	3963
789	14840	3945
790	14858	3925
791	14876	3906
792	14893	3887
793	14910	3868
794	14929	3849
795	14947	3830
796	14963	3811
797	14981	3792
798	14999	3773
799	15020	3755
800	15041	3736
801	15064	3719
802	15086	3701
803	15108	3683
804	15130	3665
805	15150	3646
806	15170	3628
807	15189	3609
808	15209	3590
809	15230	3572
810	15251	3554
811	15269	3535
812	15287	3516
813	15306	3497
814	15324	3478
815	15343	3459
816	15362	3441
817	15382	3422
818	15401	3403
819	15419	3384
820	15438	3366
821	15456	3347
822	15476	3328
823	15494	3309
824	15512	3290
825	15529	3271
826	15547	3252
827	15565	3233
828	15583	3214
829	15601	3195
830	15618	3176
831	15636	3157
832	15654	3138
833	15673	3119
834	15691	3100
835	15709	3081
836	15727	3062
837	15746	3044
838	15765	3025
839	15783	3006
840	15802	2987
841	15821	2968
842	15839	2949
843	15857	2930
844	15875	2911
845	15892	2893
846	15910	2874
847	15928	2855
848	15945	2835
849	15963	2817
850	15980	2797
851	15998	2779
852	16015	2759
853	16033	2741
854	16050	2722
855	16068	2703
856	16087	2684
857	16104	2665
858	16121	2646
859	16138	2627
860	16155	2608
861	16173	2589
862	16189	2570
863	16207	2551
864	16224	2532
865	16242	2513
866	16259	2494
867	16276	2475
868	16294	2456
869	16312	2437
870	16332	2418
871	16350	2400
872	16370	2381
873	16388	2362
874	16406	2343
875	16424	2324
876	16443	2306
877	16462	2287
878	16480	2268
879	16499	2249
880	16518	2231
881	16536	2212
882	16557	2193
883	16576	2175
884	16594	2156
885	16611	2137
886	16630	2118
887	16650	2100
888	16668	2081
889	16685	2062
890	16702	2043
891	16720	2024
892	16738	2005
893	16755	1986
894	16773	1967
895	16792	1949
896	16810	1930
897	16827	1911
898	16845	1892
899	16863	1873
900	16880	1854
901	16898	1835
902	16916	1817
903	16933	1798
904	16950	1779
905	16968	1760
906	16985	1741
907	17002	1722
908	17019	1703
909	17039	1685
910	17056	1666
911	17073	1647
912	17091	1628
913	17109	1609
914	17127	1591
915	17144	1572
916	17162	1553
917	17179	1534
918	17197	1515
919	17214	1496
920	17232	1478
921	17251	1459
922	17269	1440
923	17289	1422
924	17309	1403
925	17328	1384
926	17348	1366
927	17369	1347
928	17389	1329
929	17409	1310
930	17430	1291
931	17450	1273
932	17467	1254
933	17485	1235
934	17503	1216
935	17521	1198
936	17537	1179
937	17556	1160
938	17573	1141
939	17590	1122
940	17607	1103
941	17626	1085
942	17646	1066
943	17664	1047
944	17682	1029
945	17701	1010
946	17718	991
947	17736	972
948	17753	954
949	17771	935
950	17789	916
951	17806	897
952	17824	879
953	17842	860
954	17860	841
955	17878	822
956	17896	804
957	17914	785
958	17932	766
959	17950	747
960	17967	729
961	17984	710
962	18001	691
963	18018	672
964	18036	654
965	18054	635
966	18071	616
967	18089	597
968	18106	579
969	18124	560
970	18142	541
971	18160	523
972	18177	504
973	18195	485
974	18212	466
975	18229	448
976	18248	429
977	18266	410
978	18284	392
979	18301	373
980	18318	354
981	18336	336
982	18354	317
983	18373	298
984	18392	280
985	18411	261
986	18431	242
987	18451	224
988	18469	205
989	18489	186
990	18508	168
991	18526	149
992	18545	130
993	18563	112
994	18582	93
995	18599	74
996	18618	56
997	18637	37
998	18653	18
999	18670	0
